Voltage Range: 1.08,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Step Size: 0.09,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Read Count: 5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Voltage Delay Time: 25,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
Time,Pixel 0 VSet,Pixel 0 V,Pixel 0 mA,Pixel 0 PCE,Pixel 1 VSet,Pixel 1 V,Pixel 1 mA,Pixel 1 PCE,Pixel 2 VSet,Pixel 2 V,Pixel  mA,Pixel 2 PCE,Pixel 3 VSet,Pixel 3 V,Pixel 3 mA,Pixel 3 PCE,Pixel 4 VSet,Pixel 4 V,Pixel 4 mA,Pixel 4 PCE,Pixel 5 VSet,Pixel 5 V,Pixel 5 mA,Pixel 5 PCE,Pixel 6 VSet,Pixel 6 V,Pixel 6 mA,Pixel 6 PCE,Pixel 7 VSet,Pixel 7 V,Pixel 7 mA,Pixel 7 PCE,NULL
4.3220, 1.11, 1.0764, 3.6000, 0.3027, 1.11, 1.0794, 2.1200, 0.1788, 1.11, 1.0801, 0.5800, 0.0489, 1.11, 1.0841, 0.8400, 0.0711, 1.11, 1.0762, 1.5600, 0.1312, 1.11, 1.0760, -0.0800, 0.0067, 1.11, 1.0841, ovf, 0.0898, 1.11, ovf, 0.7600, 0.0646, null
8.6200, 1.14, 1.3229, 4.7200, 0.3461, 1.14, 1.3241, 3.1040, 0.2320, 1.14, 1.3249, 1.2160, 0.0953, 1.14, 1.3290, 1.7080, 0.1338, 1.14, 1.3202, 2.3720, 0.1778, 1.11, 1.3192, -0.0760, 0.0052, 1.14, 1.3298, ovf, 0.1322, 1.14, ovf, 1.3920, 0.1081, null
12.9160, 1.17, 1.4011, 5.7040, 0.4226, 1.17, 1.4028, 3.8208, 0.2845, 1.17, 1.4012, 1.9632, 0.1527, 1.17, 1.4060, 2.5216, 0.1942, 1.17, 1.3971, 3.0744, 0.2302, 1.11, 1.3678, -0.1152, 0.0086, 1.17, 1.4070, ovf, 0.1961, 1.17, ovf, 2.0584, 0.1591, null
17.2140, 1.20, 1.4447, 6.5008, 0.4876, 1.20, 1.4481, 4.5842, 0.3485, 1.20, 1.4445, 2.7926, 0.2183, 1.20, 1.4519, 3.4243, 0.2671, 1.20, 1.4438, 4.0349, 0.3111, 1.14, 1.3760, -0.1030, 0.0069, 1.20, 1.4497, ovf, 0.2592, 1.20, ovf, 2.7917, 0.2181, null
21.5110, 1.23, 1.4816, 7.5002, 0.5777, 1.23, 1.4861, 5.3968, 0.4188, 1.23, 1.4836, 3.7585, 0.2987, 1.23, 1.4900, 4.3849, 0.3468, 1.23, 1.4804, 4.9070, 0.3817, 1.14, 1.4048, -0.1006, 0.0071, 1.23, 1.4879, ovf, 0.3538, 1.23, ovf, 3.6583, 0.2911, null
25.8070, 1.26, 1.5210, 8.4400, 0.6640, 1.26, 1.5217, 6.1394, 0.4841, 1.26, 1.5203, 4.8717, 0.3939, 1.26, 1.5265, 5.4570, 0.4396, 1.26, 1.5166, 5.9814, 0.4768, 1.17, 1.4090, -0.0401, 0.0018, 1.26, 1.5253, ovf, 0.4508, 1.26, ovf, 4.6317, 0.3745, null
30.1050, 1.29, 1.5554, 9.6480, 0.7781, 1.29, 1.5593, 7.0279, 0.5687, 1.29, 1.5542, 6.1143, 0.5020, 1.29, 1.5610, 6.6114, 0.5415, 1.29, 1.5519, 6.8363, 0.5501, 1.14, 1.4386, -0.0680, 0.0054, 1.29, 1.5608, ovf, 0.5690, 1.29, ovf, 5.6263, 0.4619, null
34.4020, 1.32, 1.5896, 10.8696, 0.8930, 1.32, 1.5965, 8.0856, 0.6704, 1.32, 1.5891, 7.4629, 0.6231, 1.32, 1.5969, 7.8423, 0.6544, 1.32, 1.5870, 8.0873, 0.6703, 1.11, 1.4117, -0.0336, 0.0018, 1.32, 1.5953, ovf, 0.6937, 1.32, ovf, 6.8253, 0.5727, null
38.6990, 1.35, 1.6269, 12.2739, 1.0329, 1.35, 1.6305, 9.0971, 0.7662, 1.35, 1.6225, 8.9126, 0.7563, 1.35, 1.6321, 9.1285, 0.7753, 1.35, 1.6214, 9.6375, 0.8170, 1.08, 1.3783, -0.0667, 0.0051, 1.35, 1.6279, ovf, 0.8282, 1.35, ovf, 8.0051, 0.6809, null
42.9960, 1.38, 1.6617, 13.6948, 1.1735, 1.38, 1.6670, 10.4994, 0.9093, 1.38, 1.6574, 10.3825, 0.8955, 1.38, 1.6673, 10.5057, 0.9093, 1.38, 1.6548, 11.0675, 0.9501, 1.11, 1.3389, -0.0933, 0.0066, 1.38, 1.6625, ovf, 0.9776, 1.38, ovf, 9.2010, 0.7956, null
47.2930, 1.41, 1.6976, 15.2190, 1.3311, 1.41, 1.7023, 11.6199, 1.0182, 1.41, 1.6925, 11.9165, 1.0463, 1.41, 1.7024, 11.8611, 1.0438, 1.41, 1.6880, 12.4735, 1.0877, 1.08, 1.3598, -0.0787, 0.0051, 1.41, 1.6952, ovf, 1.1412, 1.41, ovf, 10.5202, 0.9277, null
51.5910, 1.44, 1.7305, 16.7038, 1.4844, 1.44, 1.7375, 12.9440, 1.1591, 1.44, 1.7244, 13.5033, 1.2040, 1.44, 1.7360, 13.2922, 1.1905, 1.44, 1.7228, 14.1147, 1.2575, 1.11, 1.3319, -0.0957, 0.0066, 1.44, 1.7282, ovf, 1.3089, 1.44, ovf, 11.8240, 1.0578, null
55.8870, 1.47, 1.7660, 18.3408, 1.6639, 1.47, 1.7719, 13.9888, 1.2685, 1.47, 1.7581, 15.1207, 1.3713, 1.47, 1.7692, 14.8184, 1.3509, 1.47, 1.7562, 15.7429, 1.4249, 1.08, 1.3536, -0.0791, 0.0051, 1.47, 1.7630, ovf, 1.4860, 1.47, ovf, 13.1648, 1.1970, null
60.1850, 1.50, 1.7819, 19.0082, 1.7123, 1.50, 1.8076, 15.3978, 1.4306, 1.50, 1.7914, 16.8441, 1.5545, 1.50, 1.8040, 16.3237, 1.5136, 1.50, 1.7895, 17.5486, 1.6180, 1.08, 1.3267, -0.0758, 0.0049, 1.50, 1.7957, ovf, 1.6753, 1.50, -1170235648.0000, 14.6330, 1.3549, null
64.4840, 1.50, 1.7859, 19.1616, 1.7154, 1.53, 1.8429, 16.6196, 1.5670, 1.53, 1.8270, 18.6088, 1.7487, 1.53, 1.8383, 17.8647, 1.6852, 1.53, 1.8171, 19.0297, 1.7692, 1.11, 1.3197, -0.0952, 0.0066, 1.53, 1.8247, ovf, 1.8389, 1.53, -234047136.0000, 16.0266, 1.5078, null
68.7820, 1.50, 1.7859, 19.1923, 1.7145, 1.56, 1.8780, 17.9839, 1.7288, 1.56, 1.8591, 20.4418, 1.9511, 1.56, 1.8660, 19.1529, 1.8238, 1.53, 1.8218, 19.3659, 1.7728, 1.11, 1.3471, -0.0990, 0.0068, 1.53, 1.8298, ovf, 1.8425, 1.56, -46809428.0000, 17.5053, 1.6774, null
73.0800, 1.50, 1.7851, 19.1985, 1.7135, 1.59, 1.9116, 19.3168, 1.8864, 1.59, 1.8832, 21.7284, 2.0829, 1.56, 1.8700, 19.4106, 1.8218, 1.53, 1.8219, 19.4132, 1.7696, 1.08, 1.3518, -0.0598, 0.0034, 1.53, 1.8284, ovf, 1.8371, 1.59, -9361886.0000, 17.8811, 1.6850, null
77.3780, 1.50, 1.7858, 19.2197, 1.7167, 1.62, 1.9271, 19.9834, 1.9455, 1.59, 1.8856, 21.9857, 2.0795, 1.56, 1.8667, 19.4421, 1.8146, 1.53, 1.8235, 19.4826, 1.7784, 1.08, 1.3232, -0.0920, 0.0066, 1.56, 1.8273, ovf, 1.8339, 1.62, -1872376.0000, 17.9962, 1.6879, null
81.6760, 1.50, 1.7819, 19.1839, 1.7075, 1.62, 1.9310, 20.0967, 1.9441, 1.59, 1.8853, 22.0571, 2.0808, 1.59, 1.8637, 19.4484, 1.8117, 1.53, 1.8231, 19.4365, 1.7705, 1.05, 1.3174, -0.0384, 0.0016, 1.59, 1.8255, ovf, 1.8387, 1.65, -374473.6875, 19.2992, 1.8732, null
85.9750, 1.50, 1.7811, 19.1968, 1.7097, 1.62, 1.9318, 20.1193, 1.9441, 1.59, 1.8828, 22.0714, 2.0775, 1.59, 1.8623, 19.4697, 1.8131, 1.53, 1.8222, 19.4473, 1.7718, 1.08, 1.2875, -0.0877, 0.0064, 1.59, 1.8235, ovf, 1.8572, 1.65, -74893.2031, 19.6598, 1.8861, null
90.2720, 1.50, 1.7802, 19.1994, 1.7087, 1.65, 1.9256, 20.1039, 1.9336, 1.62, 1.8823, 22.0543, 2.0751, 1.59, 1.8604, 19.4739, 1.8111, 1.56, 1.8220, 19.4295, 1.7696, 1.05, 1.3095, -0.0975, 0.0066, 1.56, 1.8215, ovf, 1.8051, 1.65, -14977.1171, 19.7120, 1.8808, null
94.5710, 1.50, 1.7848, 19.1799, 1.7122, 1.65, 1.9219, 20.1208, 1.9330, 1.62, 1.8822, 22.0309, 2.0728, 1.59, 1.8576, 19.4748, 1.8082, 1.59, 1.8196, 19.4259, 1.7666, 1.08, 1.2859, -0.0995, 0.0064, 1.53, 1.8211, ovf, 1.8324, 1.68, -2993.8979, 19.7424, 1.8831, null
98.8690, 1.50, 1.7865, 19.1960, 1.7154, 1.68, 1.9196, 20.1442, 1.9334, 1.62, 1.8790, 22.0862, 2.0754, 1.59, 1.8555, 19.4750, 1.8063, 1.59, 1.8199, 19.4052, 1.7653, 1.11, 1.3108, -0.0799, 0.0049, 1.53, 1.8210, ovf, 1.8369, 1.71, -597.2789, 18.6085, 1.7187, null
103.1680, 1.50, 1.7836, 19.2192, 1.7138, 1.65, 1.9183, 20.1488, 1.9324, 1.62, 1.8776, 22.0972, 2.0743, 1.62, 1.8535, 19.4150, 1.7974, 1.59, 1.8167, 19.4410, 1.7660, 1.14, 1.3445, -0.0960, 0.0068, 1.50, 1.8226, ovf, 1.8207, 1.74, -117.9567, 18.4217, 1.7216, null
107.4650, 1.53, 1.7839, 19.2238, 1.7148, 1.65, 1.9213, 20.1498, 1.9364, 1.62, 1.8773, 22.0994, 2.0743, 1.62, 1.8523, 19.5030, 1.8080, 1.62, 1.8177, 19.4482, 1.7679, 1.14, 1.3809, -0.1192, 0.0087, 1.53, 1.8390, ovf, 1.8523, 1.77, -22.1212, 17.2643, 1.5597, null
111.7640, 1.53, 1.7839, 19.2048, 1.7126, 1.65, 1.9163, 20.1500, 1.9294, 1.62, 1.8756, 22.0999, 2.0721, 1.65, 1.8520, 19.5006, 1.8057, 1.59, 1.8139, 19.4096, 1.7585, 1.14, 1.3882, -0.1238, 0.0087, 1.56, 1.8206, ovf, 1.8228, 1.80, -2.9260, 18.1729, 1.7230, null
116.0620, 1.53, 1.7831, 19.2410, 1.7161, 1.65, 1.9169, 20.1500, 1.9314, 1.62, 1.8753, 22.1200, 2.0745, 1.62, 1.8480, 19.4001, 1.7892, 1.62, 1.8163, 19.4219, 1.7647, 1.17, 1.3880, -0.0648, 0.0035, 1.56, 1.8066, ovf, 1.8459, 1.83, 0.9364, 19.4146, 1.8758, null
120.3590, 1.53, 1.7822, 19.1882, 1.7084, 1.65, 1.9178, 20.1500, 1.9324, 1.65, 1.8736, 22.0640, 2.0652, 1.59, 1.8471, 19.4400, 1.7962, 1.65, 1.8168, 19.3844, 1.7602, 1.17, 1.4160, -0.1130, 0.0089, 1.53, 1.8117, ovf, 1.8107, 1.86, 1.7089, 19.6429, 1.8734, null
